19:30:06,69,5716,Less than 2 MIN
19:30:16,61B,5922,Less than 2 MIN
19:32:17,61C,3307,APPROACHING
19:34:27,61A,6113,APPROACHING
19:41:08,61D,5659,APPROACHING
19:43:08,67,5822,APPROACHING
19:49:20,61B,6248,Less than 2 MIN
19:51:10,61D,6125,APPROACHING
20:00:42,61C,6043,APPROACHING
20:04:02,61A,6116,APPROACHING
20:13:13,69,5673,Less than 2 MIN
20:13:13,61D,5656,APPROACHING
20:34:05,61A,5617,Less than 2 MIN
20:34:25,61B,5616,APPROACHING
20:42:06,61C,3312,APPROACHING
20:42:16,61D,5924,APPROACHING
20:43:36,67,6156,APPROACHING
20:48:57,61B,6126,APPROACHING
21:04:50,61C,6029,Less than 2 MIN
21:06:10,61A,5444,APPROACHING
21:15:41,61D,5928,Less than 2 MIN
21:17:31,61B,5651,APPROACHING
21:23:02,69,6139,APPROACHING
21:32:33,61A,5925,Less than 2 MIN
21:32:53,61C,5654,APPROACHING
21:40:54,61D,5653,APPROACHING
21:51:35,61B,6235,Less than 2 MIN
21:51:45,67,6141,Less than 2 MIN
21:53:36,61C,5926,APPROACHING
21:57:56,69,5622,APPROACHING
22:01:47,61A,6038,APPROACHING
22:10:51,61D,6118,APPROACHING
22:19:52,61B,6124,APPROACHING
22:25:53,61C,6134,APPROACHING
22:34:04,61A,5617,APPROACHING
22:39:55,61D,5815,APPROACHING
22:45:45,67,5822,APPROACHING
22:46:15,61B,6117,APPROACHING
22:54:36,69,5624,APPROACHING
22:54:46,61C,6125,APPROACHING
23:04:57,61A,6239,APPROACHING
23:11:08,61D,5616,APPROACHING
23:14:58,61B,5925,APPROACHING
23:30:00,61C,6043,APPROACHING
23:33:40,61A,6235,APPROACHING
23:37:30,61D,6252,APPROACHING
23:56:32,61C,5926,APPROACHING
00:00:03,61B,6038,APPROACHING
00:03:33,61A,6124,APPROACHING
00:08:53,61D,6243,APPROACHING
00:17:14,61B,6117,APPROACHING
00:29:25,61C,6134,APPROACHING
00:44:17,61D,5616,APPROACHING
01:03:28,61B,6239,APPROACHING
01:18:40,61C,6043,APPROACHING
01:30:11,61D,6118,APPROACHING
01:43:22,61B,6117,APPROACHING
02:01:14,61D,6243,APPROACHING
